1HOPSAT,Hera Systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,566,576,0.00072,36.9,22,2019,0.5,Satish Dhawan Space Centre,PSLV
AIM,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,Sun-Synchronous,544,552,0.000578,97.9,215,2007,2,Vandenberg AFB,Pegasus XL
AISSat-1,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,615,632,0.00122,98,6,2010,3,Satish Dhawan Space Centre,PSLV
AISSat-2,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,625,631,0.000429,98.4,6,2014,3,Baikonur Cosmodrome,Soyuz-2.1b
Alsat-2B,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,646,660,0.000997,98.2,117,2016,5,Satish Dhawan Space Centre,PSLV
Alsat-1B,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,661,704,0.00305,98.2,103,2016,5,Satish Dhawan Space Centre,PSLV
Alsat-2A,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,672,674,0.000142,98.1,130,2010,5,Satish Dhawan Space Centre,PSLV
Astrosat,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,Equatorial,632,649,0.00121,5.99,230,2015,5,Satish Dhawan Space Centre,PSLV C-30
Cosmos 2503,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,570,586,0.00115,97.7,4000,2015,5,Plesetsk Cosmodrome,Soyuz-2.1b
Cosmos 2515,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,549,594,0.00324,97.62,4000,2016,5,Plesetsk Cosmodrome,Soyuz 2.1a
BDSAGR-1,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,Earth Observation,LEO,Sun-Synchronous,613,634,0.0015,97.9,40,2019,3,Taiyuan Launch Center,Long March 4B
BeijinGalaxy-1,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,Earth Observation,LEO,Sun-Synchronous,681,703,0.00156,97.9,166,2005,7,Plesetsk Cosmodrome,Kosmos 3M
BKA 2,National Academy of Sciences,Government,Earth Observation,LEO,Sun-Synchronous,503,507,0.000291,97.5,400,2012,5,Baikonur Cosmodrome,Soyuz-Fregat
BlackSky Pathfinder 1,BlackSky Global,Commercial,Earth Observation,LEO,Sun-Synchronous,661,701,0.00284,98.2,44,2016,3,Satish Dhawan Space Centre,PSLV
BRITE-PL-2,BRITE Consortium,Government,Space Science,LEO,Sun-Synchronous,610,633,0.00164,98.02,10,2014,2,Taiyuan Launch Center,Long March 2B
Calipso,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,LEO,Sun-Synchronous,702,703,7.07E-05,98.2,587,2006,3,Vandenberg AFB,Delta 2
CartoSat 1,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,618,619,7.15E-05,97.9,1560,2005,6,Satish Dhawan Space Centre,PSLV C6
CartoSat 2,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,632,635,0.000214,97,680,2007,5,Satish Dhawan Space Centre,PSLV C7
CartoSat 2A,Indian Space Research Organization (ISRO),Military,Earth Observation,LEO,Sun-Synchronous,624,643,0.00136,97.9,680,2008,5,Satish Dhawan Space Centre,PSLV C9
CartoSat 2B,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,622,645,0.00164,97.9,694,2010,5,Satish Dhawan Space Centre,PSLV
CartoSat 2C,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,501,519,0.00131,97.5,727,2016,5,Satish Dhawan Space Centre,PSLV XL
CartoSat 2D,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,491,508,0.00124,97.5,714,2017,5,Satish Dhawan Space Centre,PSLV XL
CartoSat 2F,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,495,510,0.00109,97.5,712,2018,5,Satish Dhawan Space Centre,PSLV
CartoSat 3,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,Sun-Synchronous,500,519,0.00138,97.5,1625,2019,5,Satish Dhawan Space Centre,PSLV
Cassiope,Canadian Space Agency,Government,Earth Science,LEO,Elliptical,325,1486,0.0798,81,490,2013,2,Vandenberg AFB,Falcon 9
CBERS 4,China National Space Administration (China)/National Institute for Space Research (Brazil),Government,Earth Observation,LEO,Sun-Synchronous,738,748,0.000703,98.55,1980,2014,3,Taiyuan Launch Center,Long March 4B
Chandra X-Ray Observatory (CXO),National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Government,Space Science,Elliptical,Deep Highly Eccentric,9999,138825,0.797,28.5,4742,1999,5,Cape Canaveral,Space Shuttle (STS 93)
CHEOPS,European Space Agency (ESA),Government,Space Science,LEO,Sun-Synchronous,697,708,0.000778,98.2,273,2019,5,Guiana Space Center,Soyuz
Coriolis,US Air Force/ US Navy/NASA,Military,Earth Observation,LEO,Sun-Synchronous,820,841,0.00146,98.8,817,2003,3,Vandenberg AFB,Titan 2
COSMIC 2-1,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,709,721,0.000847,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-2,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,710,724,0.000988,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-3,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,708,724,0.00113,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-4,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,710,724,0.000988,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-5,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,709,724,0.00106,24,280,2019,5,Cape Canaveral,Falcon Heavy
COSMIC 2-6,Taiwan's National Space Organization/National Oceanographic and Atmospheric Admistration (NOAA),Government,Earth Observation,LEO,Non-Polar Inclined,708,724,0.00113,24,280,2019,5,Cape Canaveral,Falcon Heavy
Cryosat-2,European Space Agency (ESA),Government,Earth Observation,LEO,Polar,713,724,0.000776,92,720,2010,3,Baikonur Cosmodrome,Dnepr
CSO-1,Directorate General of Armaments (DGA),Military,Earth Observation,LEO,Sun-Synchronous,800,800,0,98.6,3565,2018,10,Guiana Space Center,Soyuz
Deimos 1,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,661,662,7.11E-05,98,90,2009,5,Baikonur Cosmodrome,Dnepr
Dellingr,NASA Goddard Space Flight Center,Government,Technology Development,LEO,Non-Polar Inclined,401,404,0.000221,51.6,12,2017,1,International Space Station,Nanorack Deployer
DLR Tubsat,Deutsches Zentrum f�r Luft- und Raumfahrt,Government,Earth Science,LEO,Sun-Synchronous,712,732,0.00141,98.6,45,1999,1,Satish Dhawan Space Centre,PSLV C2
DMC 3-1,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,447,2015,10,Satish Dhawan Space Centre,PSLV
DMC 3-2,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,447,2015,10,Satish Dhawan Space Centre,PSLV
